widget_type,component_fn,widget_line,describe_state,authored_uses,representative_lesson,owner_file
mcq,McqW,283,no,4380,co-03-01,src/components/widgets.tsx
numeric,NumericW,371,no,6120,co-03-01,src/components/widgets.tsx
fractionEntry,FractionEntryW,417,no,46,vm-02-02,src/components/widgets.tsx
pointEntry,PointEntryW,564,no,18,tm-01-01,src/components/widgets.tsx
placeCompare,PlaceCompareW,676,no,28,tno-04-02,src/components/widgets.tsx
rationalCompare,RationalCompareW,863,no,28,fa-02-03,src/components/widgets.tsx
slider,SliderW,12727,no,28,co-01-01,src/components/widgets.tsx
tapDiagram,TapW,12931,no,134,geo-03-01,src/components/widgets.tsx
dragOrder,DragOrderW,12980,no,93,as100-04-03,src/components/widgets.tsx
dragBucket,DragBucketW,13090,no,187,geo-03-01,src/components/widgets.tsx
matchPairs,MatchPairsW,13164,no,175,as100-02-04,src/components/widgets.tsx
buildExpression,BuildExpressionW,13360,no,237,co-05-01,src/components/widgets.tsx
plotPoint,PlotPointW,13430,yes,75,cn-02-03,src/components/widgets.tsx
toggleExplore,ToggleExploreW,13543,no,0,NONE,src/components/widgets.tsx
steppedReveal,SteppedRevealW,13593,no,54,pc-01-01,src/components/widgets.tsx
estimateSlider,EstimateSliderW,13907,no,96,g4m-02-04,src/components/widgets.tsx
tenFrame,TenFrameW,13917,no,169,g1p-02-04,src/components/widgets.tsx
numberLineHop,NumberLineHopW,13971,no,462,rno-02-02,src/components/widgets.tsx
baseTenCompose,BaseTenComposeW,14221,no,56,as100-02-04,src/components/widgets.tsx
lengthCompare,LengthCompareW,14348,no,66,g1m-01-04,src/components/widgets.tsx
absValueLine,AbsValueLineW,14765,yes,3,ns-05-02,src/components/widgets.tsx
moneyBoard,MoneyBoardW,15159,yes,19,mmt-03-02,src/components/widgets.tsx
fractionGrid,FractionGridW,15374,yes,4,fm-03-01,src/components/widgets.tsx
fractionCompare,FractionCompareW,15476,yes,3,fr-04-02,src/components/widgets.tsx
oddEvenPairs,OddEvenPairsW,15580,yes,17,as100-05-01,src/components/widgets.tsx
mixedRegroup,MixedRegroupW,6084,no,7,fa-05-01,src/components/widgets.tsx
columnCalc,ColumnCalcW,6329,no,39,g4m-02-05,src/components/widgets.tsx
evalOrder,EvalOrderW,7573,no,5,dop-01-03,src/components/widgets.tsx
unitChain,UnitChainW,7456,yes,19,vm-01-01,src/components/widgets.tsx
slopeTriangle,SlopeTriangleW,6641,yes,10,fg-02-02,src/components/widgets.tsx
subitizeFlash,SubitizeFlashW,14926,no,18,kcw-02-04,src/components/widgets.tsx
lineExplore,LineExploreW,12420,yes,6,fg-02-03,src/components/widgets.tsx
fractionBar,FractionBarW,989,no,101,g3f-02-03,src/components/widgets.tsx
quadraticExplore,QuadraticExploreW,12105,yes,32,co-04-02,src/components/widgets.tsx
unitCircleExplore,UnitCircleExploreW,11280,yes,45,tf-04-02,src/components/widgets.tsx
systemsExplore,SystemsExploreW,11700,yes,6,les-04-01,src/components/widgets.tsx
numberLinePlace,NumberLinePlaceW,11024,no,53,rno-02-03,src/components/widgets.tsx
functionMachine,FunctionMachineW,11178,no,10,fg-01-01,src/components/widgets.tsx
probabilityArea,ProbabilityAreaW,10714,no,15,sp-03-01,src/components/widgets.tsx
hundredthsGrid,HundredthsGridW,10781,no,36,dg4-02-06,src/components/widgets.tsx
transformExplore,TransformExploreW,10867,yes,14,tm-01-01,src/components/widgets.tsx
angleMeasure,AngleMeasureW,9657,yes,8,la-01-02,src/components/widgets.tsx
dilationExplore,DilationExploreW,10334,yes,22,tm-02-03,src/components/widgets.tsx
rotationLab,RotationLabW,10221,yes,4,gf-03-03,src/components/widgets.tsx
barBuilder,BarBuilderW,10590,no,70,dgr1-03-01,src/components/widgets.tsx
graphRead,GraphReadW,7364,yes,24,dgr1-02-04,src/components/widgets.tsx
dotPlot,DotPlotW,8181,yes,15,vm-02-01,src/components/widgets.tsx
boxPlot,BoxPlotW,8254,no,8,dd-05-01,src/components/widgets.tsx
distributionCompareLab,DistributionCompareLabW,8322,yes,34,sp-02b-01,src/components/widgets.tsx
areaModel,AreaModelW,8598,yes,102,g4m-01-02,src/components/widgets.tsx
placeValue,PlaceValueW,8617,no,3,pv-01-01,src/components/widgets.tsx
clockSet,ClockSetW,8677,no,40,md-01-03,src/components/widgets.tsx
balanceScale,BalanceScaleW,9585,yes,9,les-01-01,src/components/widgets.tsx
solveBalance,SolveBalanceW,8943,yes,28,tse-04-01,src/components/widgets.tsx
inversePipeline,InversePipelineW,8751,yes,11,tse-02-01,src/components/widgets.tsx
doubleNumberLine,DoubleNumberLineW,7823,no,3,pr-01-02,src/components/widgets.tsx
scatterFit,ScatterFitW,7916,yes,16,dm-02-02,src/components/widgets.tsx
fractionOfSet,FractionOfSetW,8038,no,1,fm-02-02,src/components/widgets.tsx
percentBar,PercentBarW,5422,no,16,pr-04b-03,src/components/widgets.tsx
percentChangeLab,PercentChangeLabW,5490,yes,11,pr-04-02,src/components/widgets.tsx
