widget_type,lesson,step,tone,pairs,detail
circleAngleExplore,cr-01-02,i1,info,1,"\"target arc\" [157.9..229.9 @21.4] overlaps \"arc AB = 110°\" [58.5..161.5 @11.2] by 3.6×3.7 units"
circleMeasureExplore,cr-02-01,i1,neutral,1,"\"10\" [158.2..172.6 @108.2] overlaps \"d = 0\" [135.0..171.0 @115.2] by 12.8×5.6 units"
circleMeasureExplore,cr-02-01,i1,error,1,"\"10\" [158.2..172.6 @108.2] overlaps \"d = 0\" [135.0..171.0 @115.2] by 12.8×5.6 units"
circleMeasureExplore,cr-02-01,i1,info,1,"\"10\" [158.2..172.6 @108.2] overlaps \"d = 0\" [135.0..171.0 @115.2] by 12.8×5.6 units"
circleMeasureExplore,cr-02-02,i1,neutral,1,"\"5\" [161.8..169.0 @108.2] overlaps \"d = 0\" [135.0..171.0 @115.2] by 7.2×5.6 units"
circleMeasureExplore,cr-02-02,i1,error,1,"\"5\" [161.8..169.0 @108.2] overlaps \"d = 0\" [135.0..171.0 @115.2] by 7.2×5.6 units"
circleMeasureExplore,cr-02-02,i1,info,1,"\"5\" [161.8..169.0 @108.2] overlaps \"d = 0\" [135.0..171.0 @115.2] by 7.2×5.6 units"
circleMeasureExplore,cr-02-03,i1,neutral,1,"\"13\" [158.2..172.6 @108.2] overlaps \"d = 0\" [135.0..171.0 @115.2] by 12.8×5.6 units"
circleMeasureExplore,cr-02-03,i1,error,1,"\"13\" [158.2..172.6 @108.2] overlaps \"d = 0\" [135.0..171.0 @115.2] by 12.8×5.6 units"
circleMeasureExplore,cr-02-03,i1,info,1,"\"13\" [158.2..172.6 @108.2] overlaps \"d = 0\" [135.0..171.0 @115.2] by 12.8×5.6 units"
argandExplore,cn-03-02,i1,neutral,1,"\"z × w\" [137.0..173.0 @114.2] overlaps \"z\" [137.0..144.2 @114.2] by 7.2×12.6 units"
argandExplore,cn-03-02,i1,error,1,"\"z × w\" [137.0..173.0 @114.2] overlaps \"z\" [137.0..144.2 @114.2] by 7.2×12.6 units"
argandExplore,cn-03-02,i1,info,1,"\"z × w\" [137.0..173.0 @114.2] overlaps \"z\" [137.0..144.2 @114.2] by 7.2×12.6 units"
argandExplore,cn-03-03,i1,neutral,1,"\"z × w\" [137.0..173.0 @114.2] overlaps \"z\" [137.0..144.2 @114.2] by 7.2×12.6 units"
argandExplore,cn-03-03,i1,error,1,"\"z × w\" [137.0..173.0 @114.2] overlaps \"z\" [137.0..144.2 @114.2] by 7.2×12.6 units"
argandExplore,cn-03-03,i1,info,1,"\"z × w\" [137.0..173.0 @114.2] overlaps \"z\" [137.0..144.2 @114.2] by 7.2×12.6 units"
slider,co-01-01,i1,neutral,1,"\"focus (0, 1)\" [167.0..253.4 @133.2] overlaps \"both = 2\" [196.0..253.6 @130.2] by 57.4×9.6 units"
slider,co-01-01,i1,error,1,"\"focus (0, 1)\" [167.0..253.4 @133.2] overlaps \"both = 2\" [196.0..253.6 @130.2] by 57.4×9.6 units"
slider,co-01-01,i1,info,1,"\"focus (0, 1)\" [167.0..253.4 @133.2] overlaps \"both = 2\" [196.0..253.6 @130.2] by 57.4×9.6 units"
conicLocusLab,co-02-01,i1,info,1,"\"directrix\" [78.0..149.3 @17.2] overlaps \"target: e = 0.6 → ellipse\" [91.0..289.0 @5.2] by 58.3×1.9 units"
conicLocusLab,co-02-02,i1,info,1,"\"directrix\" [78.0..149.3 @17.2] overlaps \"target: e = 0.8 → ellipse\" [91.0..289.0 @5.2] by 58.3×1.9 units"
conicLocusLab,co-03-03,i1,info,1,"\"directrix\" [78.0..149.3 @17.2] overlaps \"target: e = 1.5 → hyperbola\" [83.1..296.9 @5.2] by 66.2×1.9 units"
conicLocusLab,co-05-02,i1,info,1,"\"directrix\" [78.0..149.3 @17.2] overlaps \"target: e = 1.0 → parabola\" [87.0..293.0 @5.2] by 62.2×1.9 units"
conicLocusLab,co-05-03,i1,info,1,"\"directrix\" [78.0..149.3 @17.2] overlaps \"target: e = 0.2 → ellipse\" [91.0..289.0 @5.2] by 58.3×1.9 units"
secantSlope,dc-03-03,i1,info,1,"\"target zone\" [106.4..193.6 @15.2] overlaps \"tangent slope 6\" [166.0..274.0 @6.2] by 27.6×3.6 units"
secantSlope,fna-02-02,i1,info,1,"\"target zone\" [106.4..193.6 @15.2] overlaps \"tangent slope 0\" [166.0..274.0 @6.2] by 27.6×3.6 units"
graphStoryLab,fg-04-03,i1,info,1,"\"water level\" [12.0..99.1 @7.2] overlaps \"Fills steadily\" [60.6..161.4 @4.2] by 38.5×9.6 units"
graphStoryLab,fg-04-03,i2,info,1,"\"height\" [12.0..59.5 @7.2] overlaps \"Loses height\" [42.1..128.5 @4.2] by 17.4×9.6 units"
graphStoryLab,fg-04-03,k2,info,1,"\"distance\" [12.0..75.4 @7.2] overlaps \"Walks steadily\" [60.6..161.4 @4.2] by 14.8×9.6 units"
graphStoryLab,fg-04-03,ch1,info,1,"\"Drives fast\" [45.7..124.9 @46.8] overlaps \"Stops at red light\" [123.2..252.8 @46.8] by 1.7×12.6 units"
graphStoryLab,fg-04-03,rem-fg0403-k,info,1,"\"water level\" [12.0..99.1 @7.2] overlaps \"Fills steadily\" [60.6..161.4 @4.2] by 38.5×9.6 units"
