# sourceSeal=e3a95c5 — S242/CML-01. The waivers expire 2026-11-13. This splits the
# prediction-not-causal population by whether the lesson HAS a manipulative step at all.
# reachable-by-moving = a direct step exists AFTER the prediction; re-sequencing may close it.
# manipulative-precedes-prediction = the only direct step is before it; the prediction moves, not the step.
# no-manipulative-anywhere = nothing to sequence toward; this is authoring, not re-sequencing.
lesson,predictStepIndex,stepCount,nearestDirectIndex,distance,verdict
rt-01-04,5,10,1,-4,manipulative-precedes-prediction
ns-01-01,6,10,4,-2,manipulative-precedes-prediction
as100-04-01,1,10,,,no-manipulative-anywhere
as100-04-02,1,9,,,no-manipulative-anywhere
as100-04-03,1,9,,,no-manipulative-anywhere
as100-05-02,1,9,,,no-manipulative-anywhere
as-04-01,1,9,,,no-manipulative-anywhere
as-04-02,1,9,,,no-manipulative-anywhere
asv-01-03,1,10,,,no-manipulative-anywhere
asv-02-01,1,9,,,no-manipulative-anywhere
asv-02-02,1,9,,,no-manipulative-anywhere
bv-01-02,1,9,,,no-manipulative-anywhere
bv-01-03,1,9,,,no-manipulative-anywhere
bv-03-02,1,9,,,no-manipulative-anywhere
bv-03-03,1,9,,,no-manipulative-anywhere
cn-04-01,1,9,,,no-manipulative-anywhere
cn-04-02,1,9,,,no-manipulative-anywhere
c120-01-03,1,9,,,no-manipulative-anywhere
c120-02-01,1,9,,,no-manipulative-anywhere
c120-02-02,1,9,,,no-manipulative-anywhere
c120-05-02,1,9,,,no-manipulative-anywhere
c120-05-03,1,9,,,no-manipulative-anywhere
dd-01-02,1,9,,,no-manipulative-anywhere
dd-03-02,1,9,,,no-manipulative-anywhere
dd-04-03,1,9,,,no-manipulative-anywhere
dd-05-02,1,9,,,no-manipulative-anywhere
dop-01-02,1,9,,,no-manipulative-anywhere
dpv-02-01,1,9,,,no-manipulative-anywhere
dpv-02-02,1,9,,,no-manipulative-anywhere
dpv-02-03,1,9,,,no-manipulative-anywhere
ep-02-01,1,11,,,no-manipulative-anywhere
esn-02-01,1,10,,,no-manipulative-anywhere
esn-02-02,1,10,,,no-manipulative-anywhere
esn-03-01,1,10,,,no-manipulative-anywhere
esn-03-02,1,10,,,no-manipulative-anywhere
esn-04-01,1,9,,,no-manipulative-anywhere
esn-04-02,1,9,,,no-manipulative-anywhere
esn-04-03,1,9,,,no-manipulative-anywhere
ee-01-01,1,9,,,no-manipulative-anywhere
ee-01-02,1,9,,,no-manipulative-anywhere
ee-02-01,1,9,,,no-manipulative-anywhere
ee-02-03,1,9,,,no-manipulative-anywhere
ee-03-03,1,9,,,no-manipulative-anywhere
ee-04-01,1,9,,,no-manipulative-anywhere
ee-05-03,1,9,,,no-manipulative-anywhere
fr-01-03,1,9,,,no-manipulative-anywhere
fr-03-02,1,9,,,no-manipulative-anywhere
fr-04-03,1,9,,,no-manipulative-anywhere
fr-04-04,1,9,,,no-manipulative-anywhere
fa-01-03,1,9,,,no-manipulative-anywhere
fa-02-01,1,9,,,no-manipulative-anywhere
fa-03-02,1,9,,,no-manipulative-anywhere
fa-03-03,1,9,,,no-manipulative-anywhere
fa-05-02,1,9,,,no-manipulative-anywhere
fg-01-02,1,9,,,no-manipulative-anywhere
fg-04-01,1,9,,,no-manipulative-anywhere
gf-02-03,1,10,,,no-manipulative-anywhere
g7-04-01,1,9,,,no-manipulative-anywhere
g7-04-02,1,9,,,no-manipulative-anywhere
les-01-02,1,9,,,no-manipulative-anywhere
les-01-03,1,9,,,no-manipulative-anywhere
les-02-03,1,9,,,no-manipulative-anywhere
les-03-03,1,10,,,no-manipulative-anywhere
lf-03-02,1,11,,,no-manipulative-anywhere
la-01-01,1,9,,,no-manipulative-anywhere
la-01-03,1,9,,,no-manipulative-anywhere
la-02-03,1,9,,,no-manipulative-anywhere
la-03-01,1,9,,,no-manipulative-anywhere
la-04-01,1,9,,,no-manipulative-anywhere
la-04-02,1,9,,,no-manipulative-anywhere
la-04-03,1,9,,,no-manipulative-anywhere
mc-02-01,1,9,,,no-manipulative-anywhere
mc-02-02,1,9,,,no-manipulative-anywhere
mc-02-03,1,9,,,no-manipulative-anywhere
mc-03-03,1,9,,,no-manipulative-anywhere
mc-04-01,1,9,,,no-manipulative-anywhere
mc-04-02,1,9,,,no-manipulative-anywhere
mc-04-03,1,9,,,no-manipulative-anywhere
mc-05-01,1,9,,,no-manipulative-anywhere
mc-05-02,1,9,,,no-manipulative-anywhere
mc-05-03,1,9,,,no-manipulative-anywhere
md-01-02,1,9,,,no-manipulative-anywhere
md-03-03,1,9,,,no-manipulative-anywhere
md-03-04,1,9,,,no-manipulative-anywhere
md-04-03,1,9,,,no-manipulative-anywhere
md-04-04,1,9,,,no-manipulative-anywhere
md-05-03,1,9,,,no-manipulative-anywhere
mult-01-03,1,10,,,no-manipulative-anywhere
mult-01-05,1,9,,,no-manipulative-anywhere
mult-02-04,1,10,,,no-manipulative-anywhere
mult-02-05,5,10,,,no-manipulative-anywhere
mult-03-01,1,9,,,no-manipulative-anywhere
mult-03-03,5,9,,,no-manipulative-anywhere
mult-03-05,1,9,,,no-manipulative-anywhere
mult-04-02,1,9,,,no-manipulative-anywhere
mult-04-03,1,10,,,no-manipulative-anywhere
mult-04-04,1,9,,,no-manipulative-anywhere
mult-05-03,1,10,,,no-manipulative-anywhere
mb-01-02,1,9,,,no-manipulative-anywhere
mb-01-03,1,9,,,no-manipulative-anywhere
mb-03-02,1,9,,,no-manipulative-anywhere
mb-04-01,1,9,,,no-manipulative-anywhere
mb-04-02,1,9,,,no-manipulative-anywhere
mb-04-03,1,9,,,no-manipulative-anywhere
mb-05-01,1,9,,,no-manipulative-anywhere
mb-05-02,1,10,,,no-manipulative-anywhere
ns-04-02,1,9,,,no-manipulative-anywhere
ns-04-02,5,9,,,no-manipulative-anywhere
ns-05-02,1,9,,,no-manipulative-anywhere
ns-05-02,5,9,,,no-manipulative-anywhere
ns-05-03,1,9,,,no-manipulative-anywhere
ns-05-03,5,9,,,no-manipulative-anywhere
pv-01-02,1,9,,,no-manipulative-anywhere
pv-01-03,1,9,,,no-manipulative-anywhere
pv-04-01,1,9,,,no-manipulative-anywhere
pv-04-02,1,9,,,no-manipulative-anywhere
pv-04-03,1,9,,,no-manipulative-anywhere
pv1000-03-02,1,11,,,no-manipulative-anywhere
pv1000-03-03,4,11,,,no-manipulative-anywhere
pv2-01-01,1,9,,,no-manipulative-anywhere
pv2-01-02,1,9,,,no-manipulative-anywhere
pv2-01-03,1,9,,,no-manipulative-anywhere
pv2-02-01,1,9,,,no-manipulative-anywhere
pv2-02-02,1,9,,,no-manipulative-anywhere
pv2-02-03,1,9,,,no-manipulative-anywhere
pv2-03-03,1,9,,,no-manipulative-anywhere
pv2-05-02,1,9,,,no-manipulative-anywhere
rad-01-01,6,11,,,no-manipulative-anywhere
rad-02-02,1,11,,,no-manipulative-anywhere
rr-01-01,1,9,,,no-manipulative-anywhere
rr-01-02,1,9,,,no-manipulative-anywhere
rr-02-03,1,9,,,no-manipulative-anywhere
rr-04-03,1,9,,,no-manipulative-anywhere
rr-05-01,1,9,,,no-manipulative-anywhere
geo-01-03,1,9,,,no-manipulative-anywhere
geo-02-01,1,9,,,no-manipulative-anywhere
geo-02-02,1,9,,,no-manipulative-anywhere
alg1-03-03,1,9,,,no-manipulative-anywhere
tno-04-01,1,11,,,no-manipulative-anywhere
tno-04-02,1,11,,,no-manipulative-anywhere
tno-04-03,1,11,,,no-manipulative-anywhere
rns-01-02,1,10,,,no-manipulative-anywhere
rns-02-02,1,9,,,no-manipulative-anywhere
tm-02-01,1,9,,,no-manipulative-anywhere
tse-04-03,1,11,,,no-manipulative-anywhere
asv-05-01,1,9,5,4,reachable-by-moving
fr-04-01,1,9,5,4,reachable-by-moving
mult-02-03,1,10,5,4,reachable-by-moving
mult-03-04,1,10,5,4,reachable-by-moving
mult-04-05,1,10,5,4,reachable-by-moving
dop-02-02,1,9,6,5,reachable-by-moving
ep-01-03,1,11,6,5,reachable-by-moving
fa-05-01,1,9,6,5,reachable-by-moving
pv2-04-03,1,10,6,5,reachable-by-moving
qu-02-02,1,11,6,5,reachable-by-moving
qu-03-01,1,11,6,5,reachable-by-moving
gf-02-02,1,10,7,6,reachable-by-moving
gf-03-03,1,10,7,6,reachable-by-moving
gf-04-03,1,10,7,6,reachable-by-moving
gf-05-01,1,10,7,6,reachable-by-moving
tc-02-01,1,10,7,6,reachable-by-moving
