# sourceSeal=6cfba1f — S242/ENG-01 R3. Win probability in TWO submissions for an attacker who
# reads only the feedback string and knows no mathematics, against a blind two-guess baseline.
# pOracle = (|accepting| + #feedback classes)/|candidates| for the best probe. fishable = pOracle 1.0.
lesson,step,kind,engine,candidates,feedbackClasses,acceptingStates,pOracle,pBlind,advantage,fishable
g3f-02-01,i1,interactive,numberLinePlace,4,2,1,0.75,0.5,1.5,false
g3f-02-01,i2,interactive,numberLinePlace,4,2,1,0.75,0.5,1.5,false
g4v-03-02,i1,interactive,numberLinePlace,5,2,1,0.6,0.4,1.5,false
g4v-03-02,i2,interactive,numberLinePlace,5,2,1,0.6,0.4,1.5,false
g3f-02-04,i1,interactive,numberLinePlace,5,2,1,0.6,0.4,1.5,false
g3f-02-04,i2,interactive,numberLinePlace,5,2,1,0.6,0.4,1.5,false
mmt-03-03,i2,interactive,moneyBoard,4,1,1,0.5,0.5,1,false
ssg2-03-02,i1,interactive,fractionBar,6,2,1,0.5,0.333,1.5,false
ssg2-03-02,k1,check,fractionBar,6,2,1,0.5,0.333,1.5,false
ssg2-03-02,k3,check,fractionBar,6,2,1,0.5,0.333,1.5,false
smg1-02-01,k1,check,fractionBar,6,2,1,0.5,0.333,1.5,false
smg1-02-02,k1,check,fractionBar,6,2,1,0.5,0.333,1.5,false
fr-02-02,k2,check,numberLinePlace,6,2,1,0.5,0.333,1.5,false
g4x-02-01,i1,interactive,numberLinePlace,6,2,1,0.5,0.333,1.5,false
g4x-02-01,i2,interactive,numberLinePlace,6,2,1,0.5,0.333,1.5,false
g3f-02-02,i1,interactive,numberLinePlace,7,2,1,0.429,0.286,1.5,false
g3f-02-02,i2,interactive,numberLinePlace,7,2,1,0.429,0.286,1.5,false
fr-02-02,k1,check,numberLinePlace,7,2,1,0.429,0.286,1.5,false
avp-03-03,i1,interactive,numberLinePlace,7,2,1,0.429,0.286,1.5,false
mmt-03-03,k1,check,moneyBoard,5,1,1,0.4,0.4,1,false
mmt-03-03,i3,interactive,moneyBoard,5,1,1,0.4,0.4,1,false
g3f-01-05,i1,interactive,numberLinePlace,9,2,1,0.333,0.222,1.5,false
g3f-01-05,i2,interactive,numberLinePlace,9,2,1,0.333,0.222,1.5,false
fr-03-01,k2,check,numberLinePlace,9,2,1,0.333,0.222,1.5,false
g4x-03-03,i1,interactive,numberLinePlace,9,2,1,0.333,0.222,1.5,false
g4x-03-03,i2,interactive,numberLinePlace,9,2,1,0.333,0.222,1.5,false
tf-03-01,i2,interactive,dragBucket,16,4,1,0.313,0.125,2.5,false
tc-01-02,i3,interactive,dragBucket,16,4,1,0.313,0.125,2.5,false
tc-04-03,i1,interactive,dragBucket,16,4,1,0.313,0.125,2.5,false
tc-05-01,i1,interactive,dragBucket,16,4,1,0.313,0.125,2.5,false
