# sourceSeal=16c2a7e window=10 draws=20 — S242/GEN-04.
# `before` counts duplicates inside the window with NO queue (what the runtime did until this packet);
# `after` counts them through drawFreshVariant. `exhausted` = pool at or below the window, which is
# GRB-04's finding and not something a queue can repair. Any `leaking` row is a mechanism bug.
generator,form,widgetType,verdict,draws,distinctWidgets,windowDuplicatesBefore,windowDuplicatesAfter,exhaustedDraws,redraws
sigma-eval,sigmaSq,numeric,clean,20,8,10,0,0,66
pct-of-number,rrBenchmarkFive,numeric,clean,20,8,11,0,0,40
missing-side,squareSide,geometricConstraintLab,clean,20,8,10,0,0,58
g1-shapes-measure,Smg1FourthsFractionBar,fractionBar,clean,20,8,11,0,0,62
g4-lines-angles,laParallelPerpIdentifyNumeric,numeric,clean,20,8,11,0,0,42
a2-trig,tf-transform__numeric,numeric,clean,20,8,11,0,0,78
make-ten-sum,biggerFirst,numeric,clean,20,9,11,0,0,53
power-product,missingPowerExponent,numeric,clean,20,9,9,0,0,55
inverse-pipeline,secondForm,inversePipeline,clean,20,9,8,0,0,13
conic-general,convertA,numeric,clean,20,9,8,0,0,99
vertical-shift,cornerY,numeric,clean,20,9,10,0,0,26
parent-functions,evalParent,numeric,clean,20,9,11,0,0,56
equivalent-fractions,findMark,numberLinePlace,clean,20,9,9,0,0,27
k0-add-subtract,KoaWriteAddMcq,mcq,clean,20,9,8,0,0,30
a1-functions-sequences,fn-domain-range__buildExpression,buildExpression,clean,20,9,11,0,0,15
a2-logarithms,lg-power__numeric,exactNumberLab,clean,20,9,9,0,0,19
prob-fraction,compound,fractionEntry,clean,20,10,9,0,0,13
coord-area-box,cornerSubtract,numeric,clean,20,10,9,0,0,31
negative-intro,opposite,numeric,clean,20,10,8,0,0,40
power-product,basicPower,exactNumberLab,clean,20,10,8,0,0,36
pythagorean,legFromHyp,numeric,clean,20,10,9,0,0,20
variable-meaning,payRate,numeric,clean,20,10,8,0,0,19
metric-convert,multistep,numeric,clean,20,10,9,0,0,46
decimal-place-value,zeros,fractionEntry,clean,20,10,8,0,0,11
chord-perp,distFromChord,numeric,clean,20,10,8,0,0,51
nl-partition,flagCount,numeric,clean,20,10,9,0,0,22
perimeter,squarePerimeter,numeric,clean,20,10,10,0,0,43
unit-fraction,returnedPieces,numeric,clean,20,10,9,0,0,14
g7-circle-parts,radiusToDiameter,numeric,clean,20,10,8,0,0,37
g7-circle-area,areaFromDiameter,numeric,clean,20,10,9,0,0,43
g7-cross-sections,matchCrossSections,matchPairs,clean,20,10,8,0,0,33
pr-unit-rate-g7,milesWholeB,numeric,clean,20,10,9,0,0,45
pr-unit-rate-g7,lapsWholeA,numeric,clean,20,10,8,0,0,53
g8-esn-power-meaning,esnPowerFromDecimal,buildExpression,clean,20,10,10,0,0,44
g8-rns-root-estimate,rnsRoundA,numeric,clean,20,10,10,0,0,46
g8-rns-root-estimate,rnsRoundB,numeric,clean,20,10,9,0,0,34
g8-tm-rigid-motion,tmReflectProperty,mcq,clean,20,10,8,0,0,17
k0-add-subtract,KoaModelStoryMcq,mcq,clean,20,10,10,0,0,63
g1-data,GdBarCompareNumeric,numeric,clean,20,10,9,0,0,19
g1-counting-120,ChartRowsNumeric,numeric,clean,20,10,8,0,0,47
g2-measure-money-time,MmtSkip5sNumeric,numeric,clean,20,10,9,0,0,81
g3-mult-fluency,MultTable3Numeric,numeric,clean,20,10,9,0,0,67
g3-mult-fluency,MultTable7Numeric,numeric,clean,20,10,9,0,0,64
g4-place-million,pvAcrossZerosMcq,mcq,clean,20,10,9,0,0,27
a1-radicals,rad-distribute__numeric,exactNumberLab,clean,20,10,9,0,0,30
a2-logarithms,lg-cob__numeric,exactNumberLab,clean,20,10,10,0,0,28
a2-polynomials,pf-div-theorems__numeric,numeric,clean,20,10,8,0,0,88
a2-polynomials,pf-end-behavior__buildExpression,buildExpression,clean,20,10,9,0,0,43
a2-polynomials,pf-quad-form__buildExpression,buildExpression,clean,20,10,8,0,0,33
a2-polynomials,pf-quad-form__numeric,numeric,clean,20,10,8,0,0,25
a2-series,sr-sigma-read__matchPairs,matchPairs,clean,20,10,8,0,0,17
a2-series,sr-sigma-read__numeric,numeric,clean,20,10,7,0,0,53
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rrt-test__numeric,exactNumberLab,clean,20,10,5,0,0,5
g12-trig-graphs-inverses,trig-graphs-inverses__tg-cos-sin__numeric,numeric,clean,20,10,8,0,0,21
g13-curve-analysis,curve-analysis__ca-first-derivative-test__signChart,signChart,clean,20,10,9,0,0,12
g6-data-literacy,ddStatChoose,mcq,clean,20,11,7,0,0,8
cn-multiply,squareReal,numeric,clean,20,11,7,0,0,21
frac-unlike-addsub,subRewrite,fractionEntry,clean,20,11,7,0,0,56
coord-area-box,legRoute,numeric,clean,20,11,9,0,0,37
power-product,exponentOnly,numeric,clean,20,11,9,0,0,62
eval-expression,squarePlus,numeric,clean,20,11,8,0,0,21
avg-rate-change,quadShift,numeric,clean,20,11,9,0,0,12
inscribed-angle,sameArc,numeric,clean,20,11,9,0,0,12
tree-chain,bothRed,numeric,clean,20,11,7,0,0,17
range-floor,negMax,numeric,clean,20,11,9,0,0,30
solve-trig-all,tanCount,numeric,clean,20,11,8,0,0,56
solve-trig-all,sinPair,mcq,clean,20,11,8,0,0,27
addition-rule,probOr,numeric,clean,20,11,8,0,0,39
nl-unit,fixMistake,numberLinePlace,clean,20,11,7,0,0,14
whole-as-fraction,divideOut,numeric,clean,20,11,8,0,0,19
