# sourceSeal=3f0bb4a generatedBy=scripts/audit/generator-quality-sweep.mts
generator,form,widgetType,severity,code,where,seed,detail
a1-exponential,exp-growth-decay__numeric,exactNumberLab,high,float-artifact,approxConstants[1].value,a1-exponential|exp-growth-decay__numeric|core|7,0.3333333333333333
a1-systems,eliminate-add-subtract__numeric,affineRelationshipLab,high,float-artifact,lines[1].m,a1-systems|eliminate-add-subtract__numeric|support|6,-0.3333333333333333
a1-systems,eliminate-add-subtract__numeric,affineRelationshipLab,high,float-artifact,lines[1].b,a1-systems|eliminate-add-subtract__numeric|support|6,-0.3333333333333333
a1-systems,eliminate-add-subtract__numeric,affineRelationshipLab,high,float-artifact,lines[0].m,a1-systems|eliminate-add-subtract__numeric|stretch|8,-1.6666666666666667
a1-systems,eliminate-add-subtract__numeric,affineRelationshipLab,high,float-artifact,lines[0].b,a1-systems|eliminate-add-subtract__numeric|stretch|8,-6.333333333333333
a1-systems,eliminate-scale-both__numeric,affineRelationshipLab,high,float-artifact,lines[0].m,a1-systems|eliminate-scale-both__numeric|stretch|2,-0.6666666666666666
a1-systems,eliminate-scale-both__numeric,affineRelationshipLab,high,float-artifact,lines[0].b,a1-systems|eliminate-scale-both__numeric|stretch|2,-0.6666666666666666
a1-systems,eliminate-scale-both__numeric,affineRelationshipLab,high,float-artifact,lines[1].m,a1-systems|eliminate-scale-both__numeric|stretch|2,-1.6666666666666667
a1-systems,eliminate-scale-both__numeric,affineRelationshipLab,high,float-artifact,lines[1].b,a1-systems|eliminate-scale-both__numeric|stretch|2,1.3333333333333333
a1-systems,eliminate-scale-one__numeric,affineRelationshipLab,high,float-artifact,lines[1].m,a1-systems|eliminate-scale-one__numeric|core|10,-1.6666666666666667
a1-systems,eliminate-scale-one__numeric,affineRelationshipLab,high,float-artifact,lines[0].m,a1-systems|eliminate-scale-one__numeric|core|16,-0.6666666666666666
a1-systems,eliminate-scale-one__numeric,affineRelationshipLab,high,float-artifact,lines[0].b,a1-systems|eliminate-scale-one__numeric|core|16,8.333333333333334
a1-systems,eliminate-scale-one__numeric,affineRelationshipLab,high,float-artifact,lines[1].b,a1-systems|eliminate-scale-one__numeric|support|18,12.666666666666666
a2-logarithms,lg-e-solve__numeric,numeric,high,float-artifact,answer,a2-logarithms|lg-e-solve__numeric|support|0,1.6094379124
a2-logarithms,lg-e__numeric,numeric,high,float-artifact,answer,a2-logarithms|lg-e__numeric|support|0,7.3890560989
a2-logarithms,lg-evaluate__numeric,exactNumberLab,high,float-artifact,logArgument,a2-logarithms|lg-evaluate__numeric|support|0,0.0015999999999999999
a2-trig,tf-arc-length__numeric,numeric,high,float-artifact,answer,a2-trig|tf-arc-length__numeric|support|0,2.0943951024
a2-trig,tf-exact-values__numeric,numeric,high,float-artifact,answer,a2-trig|tf-exact-values__numeric|support|0,0.7071067812
a2-trig,tf-identity__numeric,numeric,high,float-artifact,answer,a2-trig|tf-identity__numeric|support|3,0.916515139
a2-trig,tf-identity__numeric,numeric,high,float-artifact-in-prose,successFeedback,a2-trig|tf-identity__numeric|support|3,cos θ=√(1−sin²θ)=0.916515.
a2-trig,tf-inverse__numeric,numeric,high,float-artifact,answer,a2-trig|tf-inverse__numeric|support|0,15.9453959009
a2-trig,tf-solve-sides__numeric,numeric,high,float-artifact,answer,a2-trig|tf-solve-sides__numeric|core|1,8.6602540378
attributes,cgTriangleDualLabel,shapeHierarchyLab,high,float-artifact,triangleSides[1],attributes|cgTriangleDualLabel|core|4,1.7320508075688772
g10-solid-geometry,sg-cavalieri-apply__numeric,exactNumberLab,high,float-artifact,approxConstants[0].value,g10-solid-geometry|sg-cavalieri-apply__numeric|support|0,3.141592653589793
g10-solid-geometry,sg-composite-subtract__numeric,exactNumberLab,high,float-artifact,approxConstants[0].value,g10-solid-geometry|sg-composite-subtract__numeric|support|0,3.141592653589793
g10-solid-geometry,sg-cylinder-justified__numeric,exactNumberLab,high,float-artifact,approxConstants[0].value,g10-solid-geometry|sg-cylinder-justified__numeric|stretch|2,3.141592653589793
g10-solid-geometry,sg-density__numeric,exactNumberLab,high,float-artifact,approxConstants[0].value,g10-solid-geometry|sg-density__numeric|core|4,3.141592653589793
g12-limits-continuity,limits-continuity__lc-series-limit__numeric,exactNumberLab,high,float-artifact,approxConstants[0].value,g12-limits-continuity|limits-continuity__lc-series-limit__numeric|stretch|2,0.3333333333333333
g12-limits-continuity,limits-continuity__lc-series-limit__numeric,exactNumberLab,high,float-artifact,approxConstants[1].value,g12-limits-continuity|limits-continuity__lc-series-limit__numeric|stretch|2,0.3333333333333333
g7-mixed-rational,fracProduct,exactNumberLab,high,float-artifact,choices[1].numberValue,g7-mixed-rational|fracProduct|core|1,-0.1111111111111111
g7-mixed-rational,fracProduct,exactNumberLab,high,float-artifact,choices[0].numberValue,g7-mixed-rational|fracProduct|stretch|2,-0.32142857142857145
