# sourceSeal=3f0bb4a minPerForm=30 bands=support/core/stretch seed=hashSeed("<tag>|<form>|<band>|<index>")
generator,form,widgetType,tier,samples,throws,distinctWidgets,distinctAnswers,distinctPrompts,freshness,highFindings,allFindings,throwDetail
exp-solve,reciprocalBase,exactNumberLab,500,250,0,6,3,6,0.024,0,0,
exp-solve,negExponent,exactNumberLab,500,250,0,8,3,8,0.032,0,0,
ladder-shift,divThrice,placeValueTransformLab,500,167,0,6,6,6,0.036,0,0,
ladder-shift,divTenth,placeValueTransformLab,500,167,0,8,8,8,0.048,0,0,
g7-scaled-area,unitAreaScale,geometricConstraintLab,500,167,0,8,8,8,0.048,0,0,
ladder-shift,mulTwice,placeValueTransformLab,500,167,0,8,8,8,0.048,0,0,
g7-vertical-angles,adjacentObtuse,geometricConstraintLab,500,167,0,13,13,13,0.078,0,0,
missing-side,squareSide,geometricConstraintLab,500,167,0,13,13,13,0.078,0,0,
line-of-fit,interceptZero,affineRelationshipLab,500,250,0,22,1,22,0.088,0,0,
common-denom,lcd,numeric,100,100,0,6,5,6,0.060,0,0,
ten-frame-fill,decompose,tenFrame,100,100,0,7,4,7,0.070,0,0,
polygon-angles,sidesFromInterior,exactNumberLab,500,84,0,8,8,8,0.095,0,0,
g8-les-systems-word,lesWordTickets,affineRelationshipLab,500,125,0,13,13,13,0.104,0,0,
power-ten-exponent,negDivide,placeValueTransformLab,500,167,0,20,7,20,0.120,0,0,
exp-function,decayStart,exactNumberLab,500,72,0,5,5,5,0.069,0,0,
power-ten-exponent,negMultiply,placeValueTransformLab,500,167,0,20,7,20,0.120,0,0,
parent-functions,evalParent,numeric,100,100,0,12,12,12,0.120,0,0,
conic-general,convertA,numeric,100,100,0,11,4,11,0.110,0,0,
g7-vertical-angles,acrossAlgebra,geometricConstraintLab,500,167,0,24,15,24,0.144,0,0,
pr-graph-rate-g7,graphUnitPlot,plotPoint,500,125,0,20,5,20,0.160,0,0,
exp-function,nextTerm,exactNumberLab,500,72,0,6,6,6,0.083,0,0,
make-ten-sum,biggerFirst,numeric,100,100,0,13,7,13,0.130,0,0,
polygon-angles,sidesFromSum,exactNumberLab,500,84,0,12,12,12,0.143,0,0,
polygon-angles,sidesFromExterior,exactNumberLab,500,84,0,12,12,12,0.143,0,0,
polygon-angles,exteriorSum,exactNumberLab,500,84,0,11,1,11,0.131,0,0,
pr-graph-rate-g7,graphStoryPlot,plotPoint,500,125,0,19,5,19,0.152,0,0,
exp-function,ratio,exactNumberLab,500,72,0,8,3,8,0.111,0,0,
polygon-angles,regularInterior,exactNumberLab,500,84,0,11,11,11,0.131,0,0,
exp-function,decayModel,exactNumberLab,500,72,0,9,5,9,0.125,0,0,
exp-function,startAmount,exactNumberLab,500,72,0,10,5,10,0.139,0,0,
g8-tm-pythagorean-why,tmPythCSquaredA,geometricConstraintLab,500,125,0,20,18,20,0.160,0,0,
g8-tm-pythagorean-why,tmPythLengthFromAreas,geometricConstraintLab,500,125,0,20,18,20,0.160,0,0,
exp-function,initialValue,exactNumberLab,500,72,0,10,6,10,0.139,0,0,
root-solve,cube,buildExpression,100,50,0,4,1,4,0.080,0,0,
g8-les-systems-word,lesWordRope,affineRelationshipLab,500,125,0,22,20,22,0.176,0,0,
in-definite-power,default,numeric,100,100,0,20,17,20,0.200,0,100,
shape-identify,solid,tapDiagram,100,50,0,4,4,4,0.080,0,0,
shape-identify,rollStack,tapDiagram,100,50,0,4,4,4,0.080,0,0,
trig-deriv,chain,numeric,100,50,0,5,5,5,0.100,0,0,
g8-les-systems-word,lesWordLarger,affineRelationshipLab,500,125,0,22,20,22,0.176,0,0,
g8-esn-place-value,esnPlaceLarge,placeValueTransformLab,500,125,0,29,29,29,0.232,0,166,
g8-tm-angle-angle,tmAAScale,geometricConstraintLab,500,125,0,33,23,33,0.264,0,0,
root-solve,cubeNegative,buildExpression,100,50,0,5,1,5,0.100,0,0,
chord-perp,parallelChords,numeric,100,50,0,5,4,5,0.100,0,0,
g1-tens-ones,TnoTenBundleNumeric,numeric,500,63,0,9,9,9,0.143,0,0,
deriv-explog,expChain,numeric,100,50,0,6,6,6,0.120,0,0,
