# sourceSeal=b1a8e79 generatedBy=scripts/audit/generator-quality-sweep.mts
generator,form,widgetType,severity,code,where,seed,detail
a1-radicals,rad-mn-exp__numeric,exactNumberLab,medium,out-of-scale-value,numericErrors[0].value,a1-radicals|rad-mn-exp__numeric|core|7,244140625
a2-logarithms,lg-power__numeric,exactNumberLab,medium,out-of-scale-value,logArgument,a2-logarithms|lg-power__numeric|stretch|2,43046721
a2-logarithms,lg-scales__numeric,numeric,medium,out-of-scale-value,answer,a2-logarithms|lg-scales__numeric|support|0,10000000
a2-polynomials,pf-leading-term__numeric,numeric,medium,out-of-scale-value,answer,a2-polynomials|pf-leading-term__numeric|support|0,-2657178
a2-polynomials,pf-leading-term__numeric,numeric,medium,out-of-scale-value,commonErrors[0].value,a2-polynomials|pf-leading-term__numeric|support|0,-2657205
a2-radicals,re-convert__numeric,exactNumberLab,medium,out-of-scale-value,numericErrors[0].value,a2-radicals|re-convert__numeric|core|4,62084115
dr-chain-rule,default,numeric,medium,out-of-scale-value,commonErrors[1].value,dr-chain-rule|default|stretch|2,7425860
dr-chain-rule,default,numeric,medium,out-of-scale-value,answer,dr-chain-rule|default|stretch|11,1152480
dr-chain-rule,default,numeric,medium,out-of-scale-value,commonErrors[2].value,dr-chain-rule|default|stretch|23,1048576
dr-chain-rule,default,numeric,medium,out-of-scale-value,commonErrors[0].value,dr-chain-rule|default|stretch|26,1658880
g4-place-million,pvPlaceLadderNumeric,numeric,medium,out-of-scale-value,answer,g4-place-million|pvPlaceLadderNumeric|stretch|2,3000000
g4-place-million,pvPlaceNamesNumeric,numeric,medium,out-of-scale-value,commonErrors[0].value,g4-place-million|pvPlaceNamesNumeric|stretch|8,4000000
g4-place-million,pvNumberFormsNumeric,numeric,medium,out-of-scale-value,answer,g4-place-million|pvNumberFormsNumeric|stretch|2,6080003
g4-place-million,pvNumberFormsNumeric,numeric,medium,out-of-scale-value,commonErrors[0].value,g4-place-million|pvNumberFormsNumeric|stretch|2,6800003
g4-place-million,pvReadingBigNumeric,numeric,medium,out-of-scale-value,commonErrors[0].value,g4-place-million|pvReadingBigNumeric|stretch|8,6000000
g4-place-million,pvFrontEndNumeric,numeric,medium,out-of-scale-value,answer,g4-place-million|pvFrontEndNumeric|stretch|2,1210000
g4-place-million,pvFrontEndNumeric,numeric,medium,out-of-scale-value,commonErrors[0].value,g4-place-million|pvFrontEndNumeric|stretch|2,1218199
g4-place-million,pvFrontEndNumeric,numeric,medium,out-of-scale-value,commonErrors[1].value,g4-place-million|pvFrontEndNumeric|stretch|2,1210001
g8-esn-compare,esnCompareRatioLarge,numeric,medium,out-of-scale-value,commonErrors[2].value,g8-esn-compare|esnCompareRatioLarge|support|0,300000000000
g8-esn-place-value,esnPlaceMcq,placeValueTransformLab,medium,out-of-scale-value,values[0],g8-esn-place-value|esnPlaceMcq|stretch|2,7000000
g8-esn-place-value,esnPlaceLarge,placeValueTransformLab,medium,out-of-scale-value,numericErrors[1].value,g8-esn-place-value|esnPlaceLarge|support|0,8000000
g8-esn-place-value,esnPlaceLarge,placeValueTransformLab,medium,out-of-scale-value,numericErrors[0].value,g8-esn-place-value|esnPlaceLarge|stretch|2,4000000
g8-esn-power-meaning,esnPowerNegative,numeric,medium,out-of-scale-value,commonErrors[0].value,g8-esn-power-meaning|esnPowerNegative|core|1,100000000
g8-esn-power-meaning,esnPowerNegativeDeep,numeric,medium,out-of-scale-value,commonErrors[0].value,g8-esn-power-meaning|esnPowerNegativeDeep|core|1,10000000000
metric-convert,rrMetricDivide,numeric,medium,out-of-scale-value,commonErrors[0].value,metric-convert|rrMetricDivide|support|0,6000000
permutation-count,podium,numeric,medium,out-of-scale-value,commonErrors[1].value,permutation-count|podium|core|1,3628800
g0-shapes-sorting,shapeAnyWayTap,tapDiagram,low,overlong-drawn-label,hotspots[2].label,g0-shapes-sorting|shapeAnyWayTap|support|0,26 chars: large triangle pointing up
g0-shapes-sorting,shapeAnyWayTap,tapDiagram,low,overlong-drawn-label,hotspots[0].label,g0-shapes-sorting|shapeAnyWayTap|core|1,26 chars: large triangle pointing up
g0-shapes-sorting,shapeAnyWayTap,tapDiagram,low,overlong-drawn-label,hotspots[3].label,g0-shapes-sorting|shapeAnyWayTap|stretch|2,26 chars: large triangle pointing up
g0-shapes-sorting,shapeAnyWayTap,tapDiagram,low,overlong-drawn-label,hotspots[1].label,g0-shapes-sorting|shapeAnyWayTap|core|10,26 chars: large triangle pointing up
