# sourceSeal=6477125 — S242. `content`/`content-2` were declared in BOTH tailwind colors and
# fontSize, so `text-content-2` emitted a colour rule AND `font-size:1.125rem`. Equal specificity,
# so the LATER rule won, and Tailwind sorts font-size utilities lexicographically by class suffix.
# verdict=overridden -> the size the author wrote never took effect. verdict=survived -> it did.
file,line,token,sizeAsked,verdict,snippet
src/app/page.tsx,135,text-content,text-2xl,overridden,"text-2xl font-extrabold tabular-nums text-content"
src/components/ProofStrip.tsx,64,text-content-2,text-base,overridden,"flex flex-wrap items-center justify-center gap-x-2.5 gap-y-1.5 rounded-card bg-surface-2 px-5 py-5 t"
src/components/SiteNav.tsx,332,text-content-2,text-[11px],overridden,"flex min-h-14 flex-1 flex-col items-center justify-center gap-0.5 pt-1.5 text-[11px] font-bold text-"
src/components/ui.tsx,741,text-content,text-2xl,overridden,"mt-1 text-2xl font-extrabold tabular-nums text-content"
src/components/ui.tsx,828,text-content,text-base,overridden,"text-base font-extrabold text-content"
src/app/(shell)/admin/AdminClient.tsx,364,text-content,text-xs,survived,"mb-1 block text-xs font-bold text-content"
src/app/(shell)/admin/AdminClient.tsx,417,text-content,text-xs,survived,"text-xs text-content"
src/app/(shell)/admin/AdminClient.tsx,621,text-content,text-xs,survived,"pressable inline-flex min-h-9 items-center gap-1 rounded-pill bg-ink/6 px-3 text-xs font-bold text-c"
src/app/(shell)/onboarding/OnboardingFlow.tsx,74,text-content-2,text-sm,survived,"mt-0.5 block text-sm text-content-2"
src/app/(shell)/onboarding/OnboardingFlow.tsx,178,text-content-2,text-sm,survived,"text-sm font-bold text-content-2"
src/app/(shell)/onboarding/OnboardingFlow.tsx,308,text-content-2,text-sm,survived,"mt-0.5 block text-sm text-content-2"
src/app/(shell)/onboarding/OnboardingFlow.tsx,347,text-content-2,text-sm,survived,"mt-0.5 block text-sm text-content-2"
src/app/(shell)/teach/class/[classId]/ClassClient.tsx,372,text-content,text-xs,survived,"pressable min-h-9 rounded-pill bg-ink/6 px-3 text-xs font-bold text-content hover:bg-ink/10 dark:bg-"
src/app/(shell)/teach/class/[classId]/ClassClient.tsx,426,text-content-2,text-xs,survived,"text-xs text-content-2"
src/app/(shell)/teach/class/[classId]/ClassClient.tsx,464,text-content,text-xs,survived,"font-mono text-xs font-bold text-content"
src/app/(shell)/teach/class/[classId]/ClassClient.tsx,627,text-content,text-sm,survived,"mt-1 text-sm text-content"
src/app/(shell)/teach/class/[classId]/ClassClient.tsx,640,text-content-2,text-xs,survived,"text-xs text-content-2"
src/app/(shell)/teach/class/[classId]/ClassClient.tsx,656,text-content,text-xs,survived,"pressable min-h-9 rounded-pill bg-ink/6 px-3 text-xs font-bold text-content hover:bg-ink/10 dark:bg-"
src/app/(shell)/trailhead/page.tsx,51,text-content-2,text-sm,survived,"text-sm font-extrabold uppercase tracking-wide text-content-2"
src/app/page.tsx,116,text-content-2,text-lg,survived,"mt-4 max-w-md text-lg text-content-2"
src/app/page.tsx,156,text-content-2,text-sm,survived,"mt-1.5 text-sm leading-relaxed text-content-2"
src/app/page.tsx,187,text-content-2,text-sm,survived,"mt-0.5 block truncate text-sm text-content-2"
src/components/CatalogClient.tsx,50,text-content-2,text-sm,survived,"mt-1 text-sm text-content-2"
src/components/CausalMasteryPanel.tsx,61,text-content-2,text-sm,survived,"block text-sm text-content-2"
src/components/CausalMasteryPanel.tsx,95,text-content-2,text-sm,survived,"mt-1 text-sm text-content-2"
src/components/LessonPlayer.tsx,685,text-content-2,text-sm,survived,"pressable min-h-11 rounded-card border border-ink/15 bg-surface px-3 text-sm font-bold text-content-"
src/components/LessonPlayer.tsx,697,text-content-2,text-sm,survived,"pressable min-h-11 rounded-card border border-ink/15 bg-surface px-3 text-sm font-bold text-content-"
src/components/ProfileClient.tsx,262,text-content-2,text-sm,survived,"mt-1 text-sm text-content-2"
src/components/ReportIssue.tsx,87,text-content,text-xs,survived,"pressable fixed bottom-[calc(env(safe-area-inset-bottom)+5.75rem)] right-3 z-30 flex min-h-11 min-w-"
src/components/ReportIssue.tsx,99,text-content,text-sm,survived,"block text-sm font-bold text-content"
src/components/ReportIssue.tsx,112,text-content,text-sm,survived,"mt-2 w-full rounded-[12px] border border-ink/15 bg-bg p-2 text-sm text-content dark:border-paper/15"
src/components/ReportIssue.tsx,118,text-content,text-sm,survived,"pressable min-h-11 rounded-pill px-3 text-sm font-bold text-muted hover:text-content"
src/components/SiteNav.tsx,232,text-content-2,text-sm,survived,"text-sm font-bold text-content-2"
src/components/ui.tsx,829,text-content-2,text-sm,survived,"mx-auto mt-1 max-w-sm text-sm text-content-2"
src/world/Atlas.tsx,166,text-content-2,text-sm,survived,"text-sm font-bold text-content-2"
src/world/Atlas.tsx,176,text-content-2,text-sm,survived,"text-sm font-bold text-content-2"
src/world/Atlas.tsx,183,text-content-2,text-sm,survived,"text-sm font-bold text-content-2"
src/world/Atlas.tsx,204,text-content-2,text-xs,survived,"text-xs font-extrabold uppercase tracking-wider text-content-2"
src/world/Atlas.tsx,216,text-content-2,text-sm,survived,"mt-2 text-sm text-content-2"
src/world/Atlas.tsx,221,text-content-2,text-xs,survived,"text-xs font-extrabold uppercase tracking-wider text-content-2"
src/world/Atlas.tsx,225,text-content-2,text-sm,survived,"mt-2 text-sm text-content-2"
src/world/Atlas.tsx,227,text-content-2,text-sm,survived,"mt-2 text-sm text-content-2"
src/world/Atlas.tsx,229,text-content-2,text-sm,survived,"mt-2 text-sm text-content-2"
src/world/Atlas.tsx,236,text-content-2,text-xs,survived,"text-right text-xs text-content-2"
src/world/Atlas.tsx,241,text-content-2,text-sm,survived,"mt-2 text-sm text-content-2"
