portfolio_id,severity,display_type,rule,target_kind,target_id,renderer,evidence
GF-W-COORDINATE-GRAPH-ACCUMULATEAREAW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,accumulateArea,AccumulateAreaW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-ACCUMULATEAREAW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,accumulateArea,AccumulateAreaW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-AFFINERELATIONSHIPLABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,affineRelationshipLab,AffineRelationshipLabW,no statically visible tick construction
GF-W-BAR-CHART-BARBUILDERW-ORIGIN,MAJOR,bar_chart,origin,widget_renderer,barBuilder,BarBuilderW,origin/zero not statically visible
GF-W-NUMBER-LINE-CICAPTUREW-TICKS,MAJOR,number_line,ticks,widget_renderer,ciCapture,CiCaptureW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-CONICLOCUSLABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,conicLocusLab,ConicLocusLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-COORDINATEPROOFLABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,coordinateProofLab,CoordinateProofLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-COORDINATEPROOFLABW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,coordinateProofLab,CoordinateProofLabW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-COVARIATIONSCRUBBERW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,covariationScrubber,CovariationScrubberW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-COVARIATIONSCRUBBERW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,covariationScrubber,CovariationScrubberW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-DERIVATIVERULELABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,derivativeRuleLab,DerivativeRuleLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-DERIVATIVERULELABW-GRID,MINOR,coordinate_graph,grid,widget_renderer,derivativeRuleLab,DerivativeRuleLabW,display convention requires grid; none statically visible
GF-W-COORDINATE-GRAPH-DERIVATIVERULELABW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,derivativeRuleLab,DerivativeRuleLabW,origin/zero not statically visible
GF-W-LINE-GRAPH-DERIVATIVETRACEW-TICKS,MAJOR,line_graph,ticks,widget_renderer,derivativeTrace,DerivativeTraceW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-DILATIONEXPLOREW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,dilationExplore,DilationExploreW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-DISTANCEGRIDW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,distanceGrid,DistanceGridW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-DISTANCEGRIDW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,distanceGrid,DistanceGridW,origin/zero not statically visible
GF-W-BOX-PLOT-DISTRIBUTIONCOMPARELABW-TICKS,MAJOR,box_plot,ticks,widget_renderer,distributionCompareLab,DistributionCompareLabW,no statically visible tick construction
GF-W-NUMBER-LINE-ESTIMATESLIDERW-TICKS,MAJOR,number_line,ticks,widget_renderer,estimateSlider,EstimateSliderW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-EXPLOGEXPLOREW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,expLogExplore,ExpLogExploreW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-EXTRANEOUSROOTLABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,extraneousRootLab,ExtraneousRootLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-EXTRANEOUSROOTLABW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,extraneousRootLab,ExtraneousRootLabW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-GEOMETRICCONSTRAINTLABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,geometricConstraintLab,GeometricConstraintLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-GEOMETRICCONSTRAINTLABW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,geometricConstraintLab,GeometricConstraintLabW,origin/zero not statically visible
GF-W-BAR-CHART-GRAPHREADW-ORIGIN,MAJOR,bar_chart,origin,widget_renderer,graphRead,GraphReadW,origin/zero not statically visible
GF-W-LINE-GRAPH-GRAPHSTORYLABW-TICKS,MAJOR,line_graph,ticks,widget_renderer,graphStoryLab,GraphStoryLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-GRAPHZOOMW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,graphZoom,GraphZoomW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-GRAPHZOOMW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,graphZoom,GraphZoomW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-LINERELATIONLABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,lineRelationLab,LineRelationLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-MATRIXTRANSFORMW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,matrixTransform,MatrixTransformW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-MATRIXTRANSFORMW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,matrixTransform,MatrixTransformW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-PARAMETRICTRACEW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,parametricTrace,ParametricTraceW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-POLARTRACEW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,polarTrace,PolarTraceW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-POLARTRACEW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,polarTrace,PolarTraceW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-PROPORTIONALREASONINGLABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,proportionalReasoningLab,ProportionalReasoningLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-PROPORTIONALREASONINGLABW-GRID,MINOR,coordinate_graph,grid,widget_renderer,proportionalReasoningLab,ProportionalReasoningLabW,display convention requires grid; none statically visible
GF-W-COORDINATE-GRAPH-PROPORTIONALREASONINGLABW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,proportionalReasoningLab,ProportionalReasoningLabW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-QUADDRAGW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,quadDrag,QuadDragW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-RELATEDRATESLABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,relatedRatesLab,RelatedRatesLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-RELATEDRATESLABW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,relatedRatesLab,RelatedRatesLabW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-RIEMANNSUMW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,riemannSum,RiemannSumW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-RIEMANNSUMW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,riemannSum,RiemannSumW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-ROTATIONLABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,rotationLab,RotationLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-ROTATIONLABW-GRID,MINOR,coordinate_graph,grid,widget_renderer,rotationLab,RotationLabW,display convention requires grid; none statically visible
GF-W-COORDINATE-GRAPH-ROTATIONLABW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,rotationLab,RotationLabW,origin/zero not statically visible
GF-W-DOT-PLOT-SAMPLESIMW-TICKS,MAJOR,dot_plot,ticks,widget_renderer,sampleSim,SampleSimW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-SCALEDCIRCLELABW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,scaledCircleLab,ScaledCircleLabW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-SCALEDCIRCLELABW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,scaledCircleLab,ScaledCircleLabW,origin/zero not statically visible
GF-W-COORDINATE-GRAPH-SECANTSLOPEW-TICKS,MAJOR,coordinate_graph,ticks,widget_renderer,secantSlope,SecantSlopeW,no statically visible tick construction
GF-W-COORDINATE-GRAPH-SECANTSLOPEW-ORIGIN,MAJOR,coordinate_graph,origin,widget_renderer,secantSlope,SecantSlopeW,origin/zero not statically visible
GF-W-BAR-CHART-SEQUENCEBUILDW-TICKS,MAJOR,bar_chart,ticks,widget_renderer,sequenceBuild,SequenceBuildW,no statically visible tick construction
GF-W-BAR-CHART-SEQUENCEBUILDW-ORIGIN,MAJOR,bar_chart,origin,widget_renderer,sequenceBuild,SequenceBuildW,origin/zero not statically visible
