# sourceSeal=f881875 generatedBy=scripts/audit/math-surface-inventory.mts
# kind=routed: text passed through the boundary, with the includeArithmetic setting of that call site.
# kind=bypass-suspect: a spec/step field interpolated straight into JSX whose name is also seen carrying math shorthand.
# kind=field: a spec field observed holding math shorthand in authored content or generated output.
# STATIC SCAN. A field reached via a variable, a helper or dangerouslySetInnerHTML is invisible here:
# this finds bypasses, it does not prove their absence.
kind,file,line,detail,arithmetic,example
routed,src/components/CausalMasteryPanel.tsx,61,MathProse,off,<MathProse text={summary} /
routed,src/components/CausalMasteryPanel.tsx,93,MathProse,off,<MathProse text={safeCard.label} /
routed,src/components/CausalMasteryPanel.tsx,94,MathProse,off,<MathProse text={safeCard.value} /
routed,src/components/CausalMasteryPanel.tsx,95,MathProse,off,<MathProse text={safeCard.detail} /
routed,src/components/LessonPlayer.tsx,606,MathProse,off,<MathProse text={s.predict.prompt} /
routed,src/components/LessonPlayer.tsx,617,MathProse,off,<MathProse text={o.label} /
routed,src/components/LessonPlayer.tsx,631,MathProse,off,<MathProse text={s.predict.options.find((o) =
routed,src/components/LessonPlayer.tsx,723,MathProse,on,<MathProse text={t} includeArithmetic /
routed,src/components/LessonPlayer.tsx,727,MathProse,off,<MathProse text={s.teaser} /
routed,src/components/LessonPlayer.tsx,747,MathProse,on,<MathProse text={h} includeArithmetic /
routed,src/components/LessonPlayer.tsx,767,MathProse,on,<MathProse text={st.feedback} includeArithmetic /
routed,src/components/LessonPlayer.tsx,784,MathProse,on,<MathProse text={st.feedback} includeArithmetic /
routed,src/components/LessonPlayer.tsx,793,MathProse,on,<MathProse text={st.feedback} includeArithmetic /
routed,src/components/LessonPlayer.tsx,798,MathProse,off,<MathProse text={revealYours} /
routed,src/components/LessonPlayer.tsx,803,MathProse,off,<MathProse text={revealAnswer} /
routed,src/components/LessonPlayer.tsx,822,MathProse,on,<MathProse text={st.explorationFeedback} includeArithmetic /
routed,src/components/LessonPlayer.tsx,838,MathProse,off,"<MathProse text={chosen?.label ?? """"} /"
routed,src/components/LessonPlayer.tsx,843,MathProse,off,"<MathProse text={outcome?.label ?? """"} /"
routed,src/components/LessonPlayer.tsx,846,MathProse,off,<MathProse text={s.predict.reveal} /
routed,src/components/LessonPlayer.tsx,853,MathProse,on,<MathProse text={s.explanationVariants[st.variant]} includeArithmetic /
routed,src/components/QuizShell.tsx,139,MathProse,on,<MathProse text={item.body} includeArithmetic /
routed,src/components/QuizShell.tsx,180,MathProse,on,<MathProse text={h} includeArithmetic /
routed,src/components/QuizShell.tsx,201,MathProse,on,<MathProse text={feedback} includeArithmetic /
routed,src/components/QuizShell.tsx,216,MathProse,on,<MathProse text={correctAnswerText(item.widget)} includeArithmetic /
routed,src/components/QuizShell.tsx,219,MathProse,on,<MathProse text={feedback} includeArithmetic /
routed,src/components/QuizShell.tsx,225,MathProse,on,<MathProse text={variants[variantIdx % variants.length]} includeArithmetic /
routed,src/components/QuizShell.tsx,256,MathProse,on,<MathProse text={explorationFeedback} includeArithmetic /
routed,src/components/math/MathText.tsx,59,MathInline,off,<MathInline tex={part.tex} fallback={part.source} /
routed,src/components/playerChrome.tsx,89,MathProse,on,<MathProse text={p} includeArithmetic /
routed,src/components/playerChrome.tsx,89,MathProse,on,<MathProse text={p} includeArithmetic /
routed,src/components/widgets/covariationScrubber.tsx,84,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets/numberLineRay.tsx,359,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,407,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,440,MathProse,off,<MathProse text={o.label} /
routed,src/components/widgets.tsx,592,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,737,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,852,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1017,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1165,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1335,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1514,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1583,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1651,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1711,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1747,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,1788,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1813,MathProse,off,<MathProse text={choice.label} /
routed,src/components/widgets.tsx,1843,MathProse,off,<MathProse text={spec.prompt} /
routed,src/components/widgets.tsx,1883,MathProse,off,<MathProse text={choice.label} /
