# sourceSeal=3609926 align=2.5 minRun=3 — S242/VIS-05. Figures rendered to static SVG;
# every run of 3+ distinct numeric labels sharing an axis is checked for reading direction.
# SVG y grows DOWNWARD, so a correct vertical scale reads DESCENDING when sorted by increasing y.
# Labels carrying a transform are skipped rather than guessed at.
figure,axis,verdict,labels,coords
"fn-negative-diff","horizontal","horizontal scale increases right to left","20 15 10 5","(30,40) (90,40) (150,40) (210,40)"
"tno-count-down-tens","horizontal","horizontal scale increases right to left","65 55 45 35","(40,36) (96,36) (152,36) (208,36)"
"as-partners-ten","horizontal","horizontal scale increases right to left","9 8 7 6 5","(30,76) (80,76) (130,76) (180,76) (230,76)"
"c120-down-ten","vertical","vertical scale increases downward","4 14 24 34","(97,30) (97,58) (97,86) (97,114)"
"lc-continuity-conditions","vertical","vertical scale increases downward","1 2 3","(26,44) (26,72) (26,100)"
"mapping-diagram","vertical","vertical scale increases downward","1 2 3","(52,41) (52,79) (52,117)"
"mapping-diagram","vertical","vertical scale increases downward","5 7 9","(158,41) (158,79) (158,117)"
"pr7-k-fraction","vertical","vertical scale increases downward","3 6 9","(84,58) (84,78) (84,98)"
"pr7-k-fraction","vertical","vertical scale increases downward","2 4 6","(128,58) (128,78) (128,98)"
"fg-function-test","vertical","vertical scale increases downward","1 2 3","(55,38) (55,60) (55,82)"
"fg-function-test","vertical","vertical scale increases downward","2 4 6","(155,38) (155,60) (155,82)"
"ee-dep-indep","vertical","vertical scale increases downward","1 2 3","(70,58) (70,74) (70,90)"
"ee-dep-indep","vertical","vertical scale increases downward","8 16 24","(140,58) (140,74) (140,90)"
"md3-bargraph","horizontal","horizontal scale increases right to left","15 10 5","(68,104) (110,104) (152,104)"
"ratio-table","vertical","vertical scale increases downward","2 4 6","(121,36) (121,60) (121,84)"
"ratio-table","vertical","vertical scale increases downward","3 6 9","(179,36) (179,60) (179,84)"
"log-scale-ladder","vertical","vertical scale increases downward","3 4 5 6","(27,49.5) (27,83.5) (27,117.5) (27,151.5)"
"rr6-table-to-plane","vertical","vertical scale increases downward","1 2 3","(40,63) (40,85) (40,107)"
"rr6-table-to-plane","vertical","vertical scale increases downward","2 4 6","(88,63) (88,85) (88,107)"
